packet_id,snr_db,tx_time,rx_time,hops_used
10,-4.5,1781084802.37101,1781084803.146948,0
11,-2.5,1781084802.9777138,1781084803.775203,0
12,-3.25,1781084803.58583,1781084804.395448,0
13,-1.75,1781084804.1928499,1781084804.990675,0
14,-0.5,1781084804.799389,1781084805.611861,0
15,-4.0,1781084805.401091,1781084806.251895,0
16,0.5,1781084806.002998,1781084806.865433,0
17,-2.5,1781084806.609335,1781084807.405946,0
18,-2.75,1781084807.218571,1781084808.035499,0
19,-7.75,1781084807.8248398,1781084808.65712,0
20,-3.25,1781084808.435147,1781084809.205518,0
21,-3.0,1781084809.0461178,1781084809.826335,0
22,-1.5,1781084809.6489642,1781084810.420939,0
23,-0.25,1781084810.260525,1781084811.042633,0
24,2.5,1781084810.867101,1781084811.654708,0
25,2.25,1781084811.477806,1781084812.285428,0
26,1.5,1781084812.08934,1781084812.8985758,0
27,0.5,1781084812.691144,1781084813.5351849,0
29,-3.75,1781084813.909072,1781084814.742465,0
30,0.25,1781084814.519825,1781084815.355259,0
31,-1.75,1781084815.1313589,1781084815.927883,0
32,-0.5,1781084815.742048,1781084816.567955,0
33,-0.25,1781084816.353188,1781084817.18083,0
34,2.75,1781084816.959566,1781084817.7867699,0
35,2.0,1781084817.569706,1781084818.382812,0
36,4.25,1781084818.176878,1781084818.978903,0
37,0.25,1781084818.7835,1781084819.5921412,0
38,-1.25,1781084819.389896,1781084820.211092,0
39,-0.25,1781084819.995771,1781084820.8065238,0
40,-1.25,1781084820.60093,1781084821.3891141,0
41,3.0,1781084821.204136,1781084822.014115,0
42,1.5,1781084821.810661,1781084822.619945,0
43,1.25,1781084822.417394,1781084823.210739,0
44,2.25,1781084823.02444,1781084823.828491,0
45,4.25,1781084823.6359758,1781084824.45906,0
46,-0.5,1781084824.2443242,1781084825.044953,0
47,-4.5,1781084824.847015,1781084825.668989,0
48,8.25,1781084825.454487,1781084826.347116,1
49,7.25,1781084826.059119,1781084827.060779,1
50,-1.5,1781084826.665878,1781084827.491426,0
51,0.25,1781084827.277468,1781084828.088044,0
52,10.5,1781084827.889007,1781084828.897792,1
53,10.75,1781084828.4945269,1781084829.475892,1
54,10.75,1781084829.101401,1781084830.042939,1
55,10.0,1781084829.7130291,1781084830.6723998,1
56,-5.0,1781084830.319711,1781084831.108643,0
57,11.0,1781084830.925339,1781084831.9008389,1
58,8.75,1781084831.533801,1781084832.447417,1
59,-4.5,1781084832.144704,1781084832.998843,0
